Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label
19557289,1711929611,2024-04-01 00:00:11,0.0,0,0.0,0.0029151199998878,8.98843595436094,3505.52,0.0,0.0,2915119.9998878,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1372219364751064,-0.7720706989145539,-0.7729268195142854,0.0009735522045551391,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0042864306335998,13.2167139686891,3505.52,0.0,0.0,4286430.6335998,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4059965769641833,0.2684558494878098,0.2838503468984646,0.04225348352870939,0
19557290,1711929623,2024-04-01 00:00:23,0.0,0,0.0,0.0008173366097058,2.52016307039782,3505.52,0.0,0.0,817336.6097057998,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2739401756379529,-0.7720706989145539,-0.7729268195142854,0.01975540381217349,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0026826953040339,8.27178123929767,3505.52,0.0,0.0,2682695.3040339,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0916670763776424,0.2684558494878098,0.2838503468984646,0.02910094681916441,0
19557291,1711929635,2024-04-01 00:00:35,0.0,0,0.0,0.0034214111688283,10.5495263199221,3505.52,0.0,0.0,3421411.1688283,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2364541772012118,-0.7720706989145539,-0.7729268195142854,0.001209763888506112,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.0036306488057184,11.1946864157333,3505.52,0.0,0.0,3630648.8057184,36.0,3.0,-0.2188538498405188,-0.2188538498405188,0.2774644116800991,2.3495089462925374,2.397404679723965,0.3508184932585846,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.005118615403265,15.7826596260266,3505.52,0.0,0.0,5118615.403265,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.5691034302099697,-0.7720706989145539,-0.7729268195142854,0.09177500602578736,0
19557294,1711929671,2024-04-01 00:01:11,0.0,0,0.0,0.000987119554866,3.04366917950276,3505.52,0.0,0.0,987119.554866,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.2406629961829343,-0.7720706989145539,-0.7729268195142854,0.024614763257281767,0
19557296,1711929695,2024-04-01 00:01:35,0.5,0,1541.69227248049,0.0033919954126342,10.4588262318951,3505.52,0.5,0.5,0.0067839908117004,24.0,2.0,0.1631097571193371,0.1631097571193371,-0.4341368124963886,1.3089823978901738,1.3406275133112149,0.3376288067478448,0
19557298,1711929719,2024-04-01 00:01:59,0.0,0,0.0,0.002688648593837,8.29013752106824,3505.52,0.0,0.0,2688648.593837,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0928339114383639,1.3089823978901738,1.3406275133112149,0.14256731136897588,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033030494400211,10.1845715946031,3505.52,0.0,0.0,3303049.4400211,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.2132554720167365,0.2684558494878098,0.2838503468984646,0.034433523721711046,0
19557299,1711929731,2024-04-01 00:02:11,0.0,0,0.0,0.0033599430589657,10.359996499964,3505.52,0.0,0.0,3359943.0589657,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2244065282413678,-0.7720706989145539,-0.7729268195142854,0.0007987945641081307,0
19557301,1711929755,2024-04-01 00:02:35,0.0,0,0.0,0.0006360108396713,1.96106599347027,3505.52,0.0,0.0,636010.8396713,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.3094797298821323,1.3089823978901738,1.3406275133112149,0.17247535166158667,0
19557302,1711929767,2024-04-01 00:02:47,0.195780553916631,0,603.66673415044,0.0025968435,8.00706711358238,3505.52,0.195780553916631,0.195780553916631,0.013264052199187,12.0,1.0,-0.0692917567473289,-0.0692917567473289,-0.4341368112263071,0.2684558494878098,0.2838503468984646,0.12857876667053264,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0004597515275135,1.41759075445734,3505.52,0.0,0.0,459751.5275135,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3440262666721432,-0.7720706989145539,-0.7729268195142854,0.016964500642358417,0
19557302,1711929767,2024-04-01 00:02:47,0.0,0,0.0,0.0019989643952269,6.16357592217013,3505.52,0.0,0.0,1998964.3952269,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0423430630379804,-0.7720706989145539,-0.7729268195142854,0.008066594571242624,0
19557302,1711929767,2024-04-01 00:02:47,1.0,0,3083.38454496098,0.0520350281587617,160.444001621335,3505.52,1.0,1.0,0.0520350281067266,0.0,0.0,0.545073364079193,0.545073364079193,-0.4341368036272593,-0.7720706989145539,-0.7729268195142854,0.28802103402564494,0
19557304,1711929791,2024-04-01 00:03:11,0.0,0,0.0,0.0022809181564881,7.0329477920363,3505.52,0.0,0.0,2280918.1564881,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0129194128405794,1.3089823978901738,1.3406275133112149,0.14346543547030258,0
19557309,1711929851,2024-04-01 00:04:11,0.0,0,0.0,0.0020451833461076,6.3060867209998,3505.52,0.0,0.0,2045183.3461076,60.0,5.0,-0.2188538498405188,-0.2188538498405188,-0.0332842242881371,4.430562043097265,4.510959012549465,0.6819790490225824,1
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.002046161396673,6.30910242699747,3505.52,0.0,0.0,2046161.396673,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.0330925279775908,1.3089823978901738,1.3406275133112149,0.14483341711479278,0
19557311,1711929875,2024-04-01 00:04:35,0.0,0,0.0,0.0021939425364476,6.76476850941514,3505.52,0.0,0.0,2193942.5364475995,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0041276663791166,-0.7720706989145539,-0.7729268195142854,0.006343267947747468,0
19557312,1711929887,2024-04-01 00:04:47,0.254,0,783.179674420089,0.0021223557024766,6.54403877192621,3505.52,0.254,0.254,0.008355731079216,12.0,1.0,-0.024816337504912,-0.024816337504912,-0.43413681218833,0.2684558494878098,0.2838503468984646,0.1370705547595151,0
19557314,1711929911,2024-04-01 00:05:11,0.0,0,0.0,0.0038617384737261,11.9072247265684,3505.52,0.0,0.0,3861738.4737261,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.3227576085040611,1.3089823978901738,1.3406275133112149,0.1758872625188615,0
19557315,1711929923,2024-04-01 00:05:23,0.0,0,0.0,0.0058734048974202,18.1099658870037,3505.52,0.0,0.0,5873404.8974202,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.7170409360888177,0.2684558494878098,0.2838503468984646,0.13833932977189245,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0020585416992861,6.34727566073657,3505.52,0.0,0.0,2058541.6992861,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.0306660089218939,3.3900354946949016,3.454181846136715,0.5581541256010528,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.000597716259061,1.84298907546064,3505.52,0.0,0.0,597716.259061,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3169854050247164,-0.7720706989145539,-0.7729268195142854,0.010181138831960444,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004374980809374,1.3489748212125,3505.52,0.0,0.0,437498.0809374,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483879057902938,-0.7720706989145539,-0.7729268195142854,0.016454276791812703,0
19557319,1711929971,2024-04-01 00:06:11,0.0,0,0.0,0.0004377196550477,1.3496580194,3505.52,0.0,0.0,437719.6550477,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483444776272113,-0.7720706989145539,-0.7729268195142854,0.016454276791812703,0
19557320,1711929983,2024-04-01 00:06:23,3.0,0,9250.15363488294,0.0008341975627975,2.57215187257412,3505.52,3.0,3.0,0.0002780658541731,12.0,1.0,2.072927791918617,2.072927791918617,-0.4341368137715392,0.2684558494878098,0.2838503468984646,0.5846534881861493,0
19557320,1711929983,2024-04-01 00:06:23,0.0,0,0.0,0.0020363275079134,6.27878076637936,3505.52,0.0,0.0,2036327.5079134,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0350199540844069,-0.7720706989145539,-0.7729268195142854,0.00881440126601108,0
19557321,1711929995,2024-04-01 00:06:35,0.0,0,0.0,0.0027026711063096,8.33337431930765,3505.52,0.0,0.0,2702671.1063096,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.0955823009395629,0.2684558494878098,0.2838503468984646,0.03035683836912759,0
19557321,1711929995,2024-04-01 00:06:35,2.855,0,8803.0628758636,0.0022431195287532,6.91640008745783,3505.52,2.855,2.855,0.0007856810956103,0.0,0.0,1.9621583459002585,1.9621583459002585,-0.4341368136720475,-0.7720706989145539,-0.7729268195142854,0.58678018786159,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,437655.6980829,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.3483570130876666,0.2684558494878098,0.2838503468984646,0.05260015492863408,0
19557322,1711930007,2024-04-01 00:06:47,0.0,0,0.0,0.0004376556980829,1.34946081548292,3505.52,0.0,0.0,437655.6980829,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3483570130876666,-0.7720706989145539,-0.7729268195142854,0.016454276791812703,0
19557324,1711930031,2024-04-01 00:07:11,0.0,0,0.0,0.0024568858221531,7.5755237727608,3505.52,0.0,0.0,2456885.8221531,24.0,2.0,-0.2188538498405188,-0.2188538498405188,0.0474087873951891,1.3089823978901738,1.3406275133112149,0.14170660667396695,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0005058503408319,1.55973112298447,3505.52,0.0,0.0,505850.3408319,24.0,2.0,-0.2188538498405188,-0.2188538498405188,-0.3349909746879433,1.3089823978901738,1.3406275133112149,0.17631381841069593,0
19557326,1711930055,2024-04-01 00:07:35,0.0,0,0.0,0.0020846377033337,6.4277396763021,3505.52,0.0,0.0,2084637.7033337,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0255512348264658,-0.7720706989145539,-0.7729268195142854,0.0077202103878545,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0031472267858047,9.70411043083748,3505.52,0.0,0.0,3147226.7858047,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1827144867450781,0.2684558494878098,0.2838503468984646,0.03457935231151113,0
19557327,1711930067,2024-04-01 00:07:47,0.0,0,0.0,0.0061040244580438,18.8210546759963,3505.52,0.0,0.0,6104024.4580438,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.762241992634679,-0.7720706989145539,-0.7729268195142854,0.1548667389780515,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0029572355101244,9.11829426772763,3505.52,0.0,0.0,2957235.5101244,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1454765075726959,0.2684558494878098,0.2838503468984646,0.03426362262635027,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0019282478570653,5.9455296413294,3505.52,0.0,0.0,1928247.8570653,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0562033888122848,-0.7720706989145539,-0.7729268195142854,0.010245404134248244,0
19557328,1711930079,2024-04-01 00:07:59,0.0,0,0.0,0.0018125273135813,5.58871870601641,3505.52,0.0,0.0,1812527.3135813,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0788844259948819,-0.7720706989145539,-0.7729268195142854,0.014965976204847374,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0038920408468824,12.000658595634,3505.52,0.0,0.0,3892040.8468824,36.0,3.0,-0.2188538498405188,-0.2188538498405188,0.3286968240623945,2.3495089462925374,2.397404679723965,0.35862059347671477,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.002762461,8.51772955345745,3505.52,0.0,0.0,2762460.9999999995,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1073010222755285,-0.7720706989145539,-0.7729268195142854,0.0020485247539946544,0
19557331,1711930115,2024-04-01 00:08:35,0.0,0,0.0,0.0036959716550492,11.3961018797926,3505.52,0.0,0.0,3695971.6550492,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.2902675832686417,-0.7720706989145539,-0.7729268195142854,0.0046100133640735105,0
19557332,1711930127,2024-04-01 00:08:47,0.0,0,0.0,0.0020001522623159,6.16723857319375,3505.52,0.0,0.0,2000152.2623159,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0421102430321072,0.2684558494878098,0.2838503468984646,0.03411137231866968,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0037934227728565,11.6965811503288,3505.52,0.0,0.0,3793422.7728565,48.0,4.0,-0.2188538498405188,-0.2188538498405188,0.3093678429107738,3.3900354946949016,3.454181846136715,0.5721918533102112,0
19557336,1711930175,2024-04-01 00:09:35,0.0,0,0.0,0.0028915236498662,8.91567933338671,3505.52,0.0,0.0,2891523.6498662,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1325970904788768,-0.7720706989145539,-0.7729268195142854,0.0004461383340799215,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.004279688,13.195923836455,3505.52,0.0,0.0,4279688.0,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4046750318108214,0.2684558494878098,0.2838503468984646,0.04225348352870939,0
19557337,1711930187,2024-04-01 00:09:47,0.0,0,0.0,0.0032307588742179,9.96167198125927,3505.52,0.0,0.0,3230758.8742179,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1990866394000796,-0.7720706989145539,-0.7729268195142854,0.003619057521632527,0
19557338,1711930199,2024-04-01 00:09:59,0.7265547869396715,0,2240.2478011172,0.0048416468719914,14.9286591372572,3505.52,0.7265547869396715,0.7265547869396715,0.0066638427718866,12.0,1.0,0.3361811243063342,0.3361811243063342,-0.4341368125199374,0.2684558494878098,0.2838503468984646,0.24066369593772102,0
19557339,1711930211,2024-04-01 00:10:11,0.0,0,0.0,0.0052574309402009,16.2106813072153,3505.52,0.0,0.0,5257430.9402009,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.5963110483214473,0.2684558494878098,0.2838503468984646,0.09981688065520156,0
19557340,1711930223,2024-04-01 00:10:23,0.1,0,308.338454496098,0.0035780526305385,11.0325121820595,3505.52,0.1,0.1,0.0357805259475797,12.0,1.0,-0.1424611284485476,-0.1424611284485476,-0.4341368068131152,0.2684558494878098,0.2838503468984646,0.12384687779470573,0
19557341,1711930235,2024-04-01 00:10:35,1.0,0,3083.38454496098,0.0089578990450144,27.6206474707181,3505.52,1.0,1.0,0.0089578990360565,12.0,1.0,0.545073364079193,0.545073364079193,-0.4341368120703061,0.2684558494878098,0.2838503468984646,0.26510485250847465,0
19557342,1711930247,2024-04-01 00:10:47,0.0,0,0.0,0.0030920003339872,9.5338260428304,3505.52,0.0,0.0,3092000.3339872,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1718901925495638,0.2684558494878098,0.2838503468984646,0.036532708480966264,0
19557343,1711930259,2024-04-01 00:10:59,0.5,0,1541.69227248049,0.0035101371841004,10.8231027441481,3505.52,0.5,0.5,0.0070202743541602,12.0,1.0,0.1631097571193371,0.1631097571193371,-0.4341368124500774,0.2684558494878098,0.2838503468984646,0.1726362165539128,0
19557344,1711930271,2024-04-01 00:11:11,0.0,0,0.0,0.0031820604024403,9.81151586601688,3505.52,0.0,0.0,3182060.4024403,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.1895418186113998,0.2684558494878098,0.2838503468984646,0.03533205337665265,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.0019365597407085,5.97115837489442,3505.52,0.0,0.0,1936559.7407085,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0545742732180005,0.2684558494878098,0.2838503468984646,0.036804141655613264,0
19557345,1711930283,2024-04-01 00:11:23,0.0,0,0.0,0.00057081324503,1.76003673778458,3505.52,0.0,0.0,570813.2450299999,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.3222583517564729,-0.7720706989145539,-0.7729268195142854,0.009997825343691551,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0005856328501232,1.80573127909145,3505.52,0.0,0.0,585632.8501232,48.0,4.0,-0.2188538498405188,-0.2188538498405188,-0.3193537334058275,3.3900354946949016,3.454181846136715,0.571318268809885,0
19557349,1711930331,2024-04-01 00:12:11,1.03,0,3175.88608130981,0.0022020526491632,6.7897751056203,3505.52,1.03,1.03,0.0021379151912866,0.0,0.0,0.5679911804967844,0.5679911804967844,-0.4341368134070117,-0.7720706989145539,-0.7729268195142854,0.30104633502166966,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.0020934177593644,6.45481196537134,3505.52,0.0,0.0,2093417.7593644,0.0,0.0,-0.2188538498405188,-0.2188538498405188,-0.0238303582102483,-0.7720706989145539,-0.7729268195142854,0.0077202103878545,0
19557349,1711930331,2024-04-01 00:12:11,0.0,0,0.0,0.003066112,9.4540023539194,3505.52,0.0,0.0,3066112.0,0.0,0.0,-0.2188538498405188,-0.2188538498405188,0.1668161214461874,-0.7720706989145539,-0.7729268195142854,0.0013290381706733193,0
19557350,1711930343,2024-04-01 00:12:23,0.1958088654704899,0,603.754029558052,0.002138577,6.59405527000902,3505.52,0.1958088654704899,0.1958088654704899,0.0109217577250124,12.0,1.0,-0.0692701287808678,-0.0692701287808678,-0.434136811685393,0.2684558494878098,0.2838503468984646,0.12857876667053264,0
19557350,1711930343,2024-04-01 00:12:23,0.0,0,0.0,0.0081342058679508,25.0808846587706,3505.52,0.0,0.0,8134205.8679508,0.0,0.0,-0.2188538498405188,-0.2188538498405188,1.1601542272232133,-0.7720706989145539,-0.7729268195142854,0.2546460701997599,0
19557351,1711930355,2024-04-01 00:12:35,0.0,0,0.0,0.0020783969083591,6.40849690552934,3505.52,0.0,0.0,2078396.9083591,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.0267744204303896,0.2684558494878098,0.2838503468984646,0.03415614370520026,0
19557352,1711930367,2024-04-01 00:12:47,0.0,0,0.0,0.0015123402464601,4.66312654265768,3505.52,0.0,0.0,1512340.2464601,12.0,1.0,-0.2188538498405188,-0.2188538498405188,-0.1377205999889324,0.2684558494878098,0.2838503468984646,0.04446881475966527,0
19557353,1711930379,2024-04-01 00:12:59,0.0,0,0.0,0.0038140229565577,11.7600994383765,3505.52,0.0,0.0,3814022.9565577,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3134054452104886,0.2684558494878098,0.2838503468984646,0.037946469438815335,0
